,chr,ARS_name,ARS_left,ARS_right,ARS_len,ARS_center,promoter,origin_activity_early,origin_activity_late,Trep_Yabuki2002,Early_late_Yabuki2002,Any_timing_study,Sld3_unsync_bound,Sld3_unsync_signal,MCM_unsync_bound,MCM_unsync_signal,Sld3_G1_bound,Sld3_G1_signal
2,chrI,ARS104,30946,31183,237,31064,yes,0.232715379,2.427970912,28.3,late,yes,no,,yes,621425.55,no,
4,chrI,ARS106,70300,70469,169,70384,no,0.295722801,5.229432561,28.9,late,yes,no,,yes,720787.16,no,
5,chrI,ARS107,124349,124597,248,124473,yes,1.417280437,6.384393145,28.1,late,yes,yes,5338.75,yes,504574.74,no,
6,chrI,ARS108,147398,147717,319,147558,no,11.8407378,9.948402712,22.9,early,yes,no,,yes,46607.84,yes,1009.54
8,chrI,ARS110,176157,176404,247,176280,no,13.20972449,11.72953805,21.9,early,yes,no,,yes,267648.2,yes,304.45
10,chrI,ARS112,222880,224046,1166,223463,no,0.043912649,0.023676812,29.9,late,yes,no,,yes,40891.53,no,
14,chrII,ARS202,63259,63381,122,63320,yes,7.851850193,12.33184595,21.4,early,yes,no,,yes,459963.69,no,
16,chrII,ARS206,143658,143745,87,143702,no,0.086110312,0.988306141,27.6,late,yes,no,,yes,827885.98,no,
17,chrII,ARS207,170173,170279,106,170226,yes,0.105029699,2.394963887,25.9,late,yes,yes,5149.0,yes,1215029.98,no,
18,chrII,ARS231,198313,198473,160,198393,no,2.03037432,7.10898603,23.8,early,yes,yes,4623.42,yes,444801.05,no,
19,chrII,ARS208,237787,237900,113,237844,yes,13.53419658,11.0308465,19.1,early,yes,yes,29219.79,yes,236871.47,yes,585.38
20,chrII,ARS209,254998,255083,85,255040,no,15.16710713,13.4881193,25.1,early,yes,no,,yes,43050.61,yes,540.36
21,chrII,ARS211,326140,326375,235,326258,yes,1.462030009,5.683721422,27.0,late,yes,no,,yes,759851.18,no,
24,chrII,ARS214,407953,408068,115,408010,no,6.87251584,10.76898136,22.2,early,yes,no,,yes,400566.59,yes,37.54
26,chrII,ARS216,486707,486954,247,486830,yes,1.360101058,7.630214546,22.1,early,yes,no,,yes,1090136.14,no,
28,chrII,ARS220,622671,622939,268,622805,yes,3.061038651,8.602147382,19.1,early,yes,no,,yes,228840.43,no,
30,chrII,ARS222,704296,704566,270,704431,yes,0.094337013,2.09536756,29.4,late,yes,yes,4222.09,yes,937136.38,no,
31,chrII,ARS224,741681,741797,116,741739,no,0.083689481,0.96312635,30.3,late,yes,no,,yes,1420836.68,no,
32,chrII,ARS225,757437,757667,230,757552,yes,0.0803753,0.528572785,29.9,late,yes,yes,6434.37,yes,669539.18,no,
40,chrIII,ARS305,39508,39595,87,39552,no,16.08894053,12.97664021,19.7,early,yes,yes,9358.44,yes,131693.2,yes,411.37
41,chrIII,ARS306,74458,74677,219,74568,yes,18.260765,12.61056612,17.9,early,yes,yes,9282.8,yes,139756.57,yes,607.68
42,chrIII,ARS307,108727,109060,333,108894,yes,17.69754267,14.32316009,19.3,early,yes,yes,14106.3,yes,414425.08,yes,378.55
43,chrIII,ARS308,114321,114939,618,114630,no,2.130738713,10.22462648,19.3,early,yes,yes,8807.02,yes,51950.9,yes,65.22
44,chrIII,ARS309,132043,132120,77,132082,yes,8.538914816,10.44571963,22.4,early,yes,yes,6906.92,yes,317276.08,yes,37.04
45,chrIII,ARS310,166503,167348,845,166926,no,2.196706659,9.245247454,24.1,early,yes,yes,5618.95,yes,1102366.95,no,
