	chr	start	end	center	Sld3_G1_start	Sld3_G1_end	Sld3_G1_center	ARS_SGD	ARS_early	ARS_late
0	chrI	6399	6549	6474				0	0	0
1	chrI	8119	8269	8194				1	0	0
2	chrI	10063	10213	10138				0	0	0
3	chrI	16805	16955	16880				0	0	0
4	chrI	23233	23383	23308				0	0	0
5	chrI	23848	23998	23923				0	0	0
6	chrI	30919	31069	30994				1	0	1
7	chrI	41961	42111	42036				1	0	0
8	chrI	70281	70431	70356				1	0	1
9	chrI	73487	73637	73562				0	0	0
10	chrI	94523	94673	94598				0	0	0
11	chrI	110309	110459	110384				0	0	0
12	chrI	124411	124561	124486	124410	124560	124485.0	1	0	1
13	chrI	137453	137603	137528				0	0	0
14	chrI	147489	147639	147564	147520	147670	147595.0	1	1	0
15	chrI	159939	160089	160014	159943	160093	160018.0	1	0	0
16	chrI	176220	176370	176295	176117	176267	176192.0	1	1	0
17	chrI	197605	197755	197680				0	0	0
18	chrI	199914	200064	199989				0	0	0
19	chrI	214983	215133	215058	214957	215107	215032.0	1	0	0
20	chrI	223963	224113	224038				1	0	1
21	chrII	5639	5789	5714				0	0	0
22	chrII	6487	6637	6562				1	0	0
23	chrII	28884	29034	28959				1	0	0
24	chrII	36039	36189	36114				0	0	0
25	chrII	38898	39048	38973				0	0	0
26	chrII	63233	63383	63308	63455	63605	63530.0	1	1	0
27	chrII	93432	93582	93507				1	0	0
28	chrII	143655	143805	143730				1	0	1
29	chrII	169985	170135	170060				1	0	1
30	chrII	186605	186755	186680	186532	186682	186607.0	0	0	0
31	chrII	198617	198767	198692				1	1	0
32	chrII	209415	209565	209490	209429	209579	209504.0	0	0	0
33	chrII	212319	212469	212394				0	0	0
34	chrII	237755	237905	237830	237640	237790	237715.0	1	1	0
35	chrII	246685	246835	246760	246693	246843	246768.0	0	0	0
36	chrII	254953	255103	255028	254474	254624	254549.0	1	1	0
37	chrII	266007	266157	266082				0	0	0
38	chrII	283505	283655	283580				0	0	0
39	chrII	292685	292835	292760				0	0	0
40	chrII	308713	308863	308788				0	0	0
41	chrII	326076	326226	326151	326144	326294	326219.0	1	0	1
42	chrII	342941	343091	343016				0	0	0
43	chrII	379045	379195	379120				1	0	0
44	chrII	389202	389352	389277				1	0	0
45	chrII	407907	408057	407982	408325	408475	408400.6666666667	1	1	0
46	chrII	417573	417723	417648				1	0	0
47	chrII	424857	425007	424932				0	0	0
48	chrII	441318	441468	441393				0	0	0
49	chrII	460477	460627	460552				0	0	0
50	chrII	481047	481197	481122				0	0	0
51	chrII	486761	486911	486836				1	1	0
52	chrII	499272	499422	499347				0	0	0
53	chrII	517175	517325	517250				1	0	0
54	chrII	539344	539494	539419				0	0	0
55	chrII	546151	546301	546226				0	0	0
56	chrII	584617	584767	584692				0	0	0
57	chrII	591306	591456	591381				0	0	0
58	chrII	611805	611955	611880				0	0	0
59	chrII	622710	622860	622785				1	1	0
60	chrII	632011	632161	632086				1	0	0
61	chrII	643677	643827	643752				0	0	0
62	chrII	664739	664889	664814				0	0	0
63	chrII	673509	673659	673584				0	0	0
64	chrII	676191	676341	676266				0	0	0
65	chrII	704213	704363	704288				1	0	1
66	chrII	720519	720669	720594				0	0	0
67	chrII	741685	741835	741760				1	0	1
68	chrII	757439	757589	757514				1	0	1
69	chrII	773907	774057	773982				0	0	0
70	chrII	792111	792261	792186				1	0	0
71	chrII	796571	796721	796646				0	0	0
72	chrII	802259	802409	802334				0	0	0
73	chrIII	11214	11364	11289				1	0	0
74	chrIII	14659	14809	14734				1	0	0
75	chrIII	15263	15413	15338				1	0	0
76	chrIII	30143	30293	30218	31214	31364	31289.0	1	0	0
77	chrIII	39458	39608	39533	39045	39195	39120.0	1	1	0
78	chrIII	74492	74642	74567	74105	74255	74180.0	1	1	0
79	chrIII	84543	84693	84618	84443	84593	84518.0	0	0	0
80	chrIII	92427	92577	92502				0	0	0
81	chrIII	108923	109073	108998	108904	109054	108979.0	1	1	0
82	chrIII	114671	114821	114746	114657	114807	114732.0	1	1	0
83	chrIII	120665	120815	120740	120582	120732	120657.0	0	0	0
84	chrIII	132191	132341	132266	132243	132393	132318.0	1	1	0
